
37/34/85/40/37348540/37348540	Theoretical mechanics.
12/69/21/81/12692181/12692181	Walks and talks of an American farmer in England.
12/75/26/02/12752602/12752602	Bulletin.
16/35/54/70/16355470/16355470	The natural history and antiquities of Selborne, in the county of Southampton.

16/35/07/11/16350711/16350711	Research objective :

16/18/49/26/16184926/16184926	Bulletin,

16/93/76/65/16937665/16937665	North American Fauna.

16/20/68/76/16206876/16206876	Memoirs of the life and doctrines of the late John Hunter, Esq.,

16/79/52/52/16795252/16795252	Management of agricultural research :

16/70/82/20/16708220/16708220	Bulletin.
16/73/07/08/16730708/16730708	Bulletin,

16/16/24/97/16162497/16162497	Bulletin,

16/16/24/28/16162428/16162428	Bulletin,

16/54/69/77/16546977/16546977	The great drama, or, The millennial harbinger /

16/54/70/23/16547023/16547023	The great drama, or, The millennial harbinger /

54/60/26/07/54602607/54602607	Improved equivalent linearization implementations using nonlinear stiffness evaluation /

54/49/21/90/54492190/54492190	Annual report.
54/49/30/20/54493020/54493020	The American journal of insanity.

26/17/46/70/26174670/26174670	Note-book on plane geometrical drawing :

26/77/76/66/26777666/26777666	An introduction to the calculus :

26/77/75/53/26777553/26777553	The trisection of a given angle geometrically solved and illustrated /

26/78/44/32/26784432/26784432	A new arithmetic, theoretical and practical /

26/78/20/69/26782069/26782069	Technical arithmetic and geometry :

26/79/67/03/26796703/26796703	Graphs, or, The graphical representation of algebraic functions /

26/79/67/10/26796710/26796710	First year&apos;s algebra /

26/79/65/49/26796549/26796549	Arithmetic made easy :

26/79/33/28/26793328/26793328	The laws of algebra :

26/97/25/09/26972509/26972509	Cookery for the diabetic /

26/03/64/93/26036493/26036493	Fish distribution report.

32/05/67/61/32056761/32056761	Experiment station record ...
32/22/44/05/32224405/32224405	A letter from a subscriber to the York lunatic asylum to the governors of that charity ...

65/46/90/69/65469069/65469069	Principles of roentgenological interpretation. /

65/46/82/59/65468259/65468259	Lessons in physical diagnosis.

65/46/78/29/65467829/65467829	Text-book of iridiagnosis :

65/46/63/24/65466324/65466324	On fevers;

65/46/70/90/65467090/65467090	Report to the State Board of Health on the epidemic of diphtheria in Frederick City, Maryland,

65/46/03/93/65460393/65460393	Annual report.

65/46/83/48/65468348/65468348	A handbook of physical diagnosis :

65/82/95/03/65829503/65829503	Differential calculus /

65/44/11/50/65441150/65441150	Annual report.

65/79/74/64/65797464/65797464	A B C five-figure logarithms for general use /

65/79/75/84/65797584/65797584	The elements of logarithms :

65/39/25/49/65392549/65392549	Monthly notices.

65/39/88/92/65398892/65398892	Monthly notices.

65/39/27/27/65392727/65392727	Monthly notices.

65/39/27/96/65392796/65392796	Monthly notices.

65/39/27/41/65392741/65392741	Monthly notices.

65/39/28/23/65392823/65392823	Monthly notices.

65/39/28/09/65392809/65392809	Monthly notices.

65/39/26/14/65392614/65392614	Monthly notices.

65/39/26/76/65392676/65392676	Monthly notices.

65/39/29/74/65392974/65392974	Monthly notices.

65/39/29/12/65392912/65392912	Monthly notices.

65/39/29/43/65392943/65392943	Monthly notices.

65/45/37/43/65453743/65453743	The New York journal of medicine.

65/45/17/50/65451750/65451750	Report on the epidemic of cholera in Egypt, during the years 1895 &amp; 1896.

65/45/55/58/65455558/65455558	A manual of practical X-ray work /

65/45/60/84/65456084/65456084	Physical examination and diagnostic anatomy.

65/45/15/72/65451572/65451572	Lectures to students on diphtheria, measles, scarlatina.

65/45/54/52/65455452/65455452	A manual of syphilis and the venereal diseases,

65/45/66/35/65456635/65456635	Hookworm disease, a handbook of information for all who are interested.

65/41/16/34/65411634/65411634	Biennial report.

65/41/16/41/65411641/65411641	Biennial report.

65/43/84/80/65438480/65438480	Bulletin,

65/43/59/09/65435909/65435909	Infection-diseases in the army,

65/43/89/97/65438997/65438997	Further report and papers on epidemic influenza, 1889-92;

59/19/83/17/59198317/59198317	The Journal of medical research.

59/24/33/77/59243377/59243377	Prairie farmer.
59/20/05/54/59200554/59200554	Establishments and products licensed under Section 351 of the Public Health Service Act /

36/52/64/88/36526488/36526488	O&apos;Donnell&apos;s new science of arithmetic,

39/18/78/09/39187809/39187809	Annals of the Royal Botanic Garden, Calcutta ...

39/18/63/35/39186335/39186335	Il Nuovo cimento.

39/18/47/84/39184784/39184784	Il Nuovo cimento.

39/86/26/05/39862605/39862605	Lectures on the calculus of variations :

39/83/47/09/39834709/39834709	A treatise on the theory of functions /

45/18/20/85/45182085/45182085	Report.

45/18/13/02/45181302/45181302	Report.

45/18/12/20/45181220/45181220	Report.

58/70/50/21/58705021/58705021	U.S. Geological Survey professional paper.

58/72/10/67/58721067/58721067	U.S. Geological Survey professional paper.

58/72/07/71/58720771/58720771	U.S. Geological Survey professional paper.

58/73/36/43/58733643/58733643	U.S. Geological Survey professional paper.

41/25/63/17/41256317/41256317	Journal of the Department of Agriculture, Western Australia.
41/27/25/00/41272500/41272500	International medical and surgical survey.

41/67/19/32/41671932/41671932	The open-air or sanatorium treatment of pulmonary tuberculosis /

41/67/14/70/41671470/41671470	A mind that found itself :

41/26/97/65/41269765/41269765	The journal of agriculture and industry of South Australia.
41/26/96/90/41269690/41269690	The journal of agriculture and industry of South Australia.
41/26/75/18/41267518/41267518	Annual meeting of the American Gastro-Enterological Association.

41/65/19/34/41651934/41651934	Crop reporter ...
41/65/21/93/41652193/41652193	Crop reporter ...
41/65/14/89/41651489/41651489	Special report of an investigation of the management of the Cook County Hospital for the Insane,

41/66/61/35/41666135/41666135	Annual report of the Illinois State Board of Health ...

41/66/63/06/41666306/41666306	Annual report of the Illinois State Board of Health ...

41/66/62/93/41666293/41666293	Annual report of the Illinois State Board of Health ...

41/66/59/76/41665976/41665976	Annual report of the Illinois State Board of Health ...

41/66/59/83/41665983/41665983	Annual report of the Illinois State Board of Health ...

41/66/10/27/41661027/41661027	Manual of physical diagnosis,

41/71/02/72/41710272/41710272	Annual meeting of the American Gastro-Enterological Association.

41/71/27/10/41712710/41712710	Annual report (reprinted papers) of the investigations carried out under the supervision of the Therapeutic Research Committee of the Council on Pharmacy and Chemistry of the American Medical Association ...

41/71/51/57/41715157/41715157	Annual report ...

66/44/35/70/66443570/66443570	Annual report of the managers of the Rochester State Hospital to the State Commission in Lunacy for the year ending ...

66/44/56/45/66445645/66445645	Biennial report.

66/44/36/07/66443607/66443607	Annual report.

66/47/35/65/66473565/66473565	The Year book of neurology, psychiatry, and neurosurgery.
66/47/34/45/66473445/66473445	Transactions -
66/47/64/88/66476488/66476488	Reports of the Sleeping Sickness Commission.

66/47/15/03/66471503/66471503	Bulletin of the Brooklyn Entomological Society.

66/47/30/58/66473058/66473058	Transactions -
66/47/32/43/66473243/66473243	Transactions -
66/47/36/09/66473609/66473609	Biennial report.

66/47/36/16/66473616/66473616	Biennial report.

66/47/33/87/66473387/66473387	Transactions -
66/47/31/16/66473116/66473116	Transactions -
43/61/43/79/43614379/43614379	A treatise in which the elementary properties of the ellipse are deduced from the properties of the circle,

43/18/71/06/43187106/43187106	Elements of the differential and integral calculus :

43/30/46/12/43304612/43304612	The statistical theory of turbulence :

22/91/58/17/22915817/22915817	Proceedings of the annual Climate Diagnostics Workshop.

22/93/19/97/22931997/22931997	Department bulletin /

22/93/20/74/22932074/22932074	Department bulletin /

22/78/28/38/22782838/22782838	The energies of men,
22/79/32/93/22793293/22793293	Practical observations on cholera asphyxia,

22/79/32/86/22793286/22793286	Cholera; its nature and treatment.

22/79/33/13/22793313/22793313	A treatise on cholera :

22/95/40/34/22954034/22954034	Report of the Hypertension Task Force.

22/95/39/95/22953995/22953995	Report of the Hypertension Task Force.

22/95/41/92/22954192/22954192	Report of the Hypertension Task Force.

22/95/41/47/22954147/22954147	Report of the Hypertension Task Force.

22/60/07/20/22600720/22600720	American journal of science.

22/72/98/53/22729853/22729853	Journal of the Association of Official Agricultural Chemists.
22/13/16/88/22131688/22131688	Department bulletin /

22/00/37/65/22003765/22003765	Department bulletin /

22/58/36/97/22583697/22583697	Dementia praecox studies,

22/49/79/34/22497934/22497934	Archives of the Middlesex Hospital.

10/19/26/84/4/101926844/101926844	Annual report.
10/18/86/96/3/101886963/101886963	Studies from the museum of zoology in University college, Dundee.

10/09/36/65/0/100936650/100936650	The American astronomer ...

10/99/10/30/10991030/10991030	Choice and chance,

10/66/17/55/10661755/10661755	The differential and integral calculus /

10/66/13/99/10661399/10661399	Graphical calculus,

10/66/16/28/10661628/10661628	Applied calculus;

29/85/39/41/29853941/29853941	The ready adviser and family guide;

29/74/72/80/29747280/29747280	Outlines of a theory of algebraical equations,

29/95/15/33/29951533/29951533	The cholera:

29/76/27/83/29762783/29762783	Proofs for all mathematical calculations,

29/86/07/93/29860793/29860793	Sample plates of Illinois fishes.

29/97/57/19/29975719/29975719	An arithmetic for review classes in high schools and normal schools ...

29/60/78/94/29607894/29607894	A tuberculosis directory,

29/98/22/01/29982201/29982201	A manual of up-to-date practical commercial arithmetic ...

29/73/19/02/29731902/29731902	High school algebra,

29/39/65/36/29396536/29396536	Thunder and lighting,

29/83/95/87/29839587/29839587	A manual of diseases of the nervous system /

29/71/83/58/29718358/29718358	High school algebra.

29/75/82/96/29758296/29758296	Lewis&apos;s new method of addition,

49/80/00/75/49800075/49800075	Radium report of the Memorial Hospital, New York.

38/10/81/22/38108122/38108122	United States Geological Survey yearbook.

33/20/83/34/33208334/33208334	Research and development contracts.

33/10/68/17/33106817/33106817	Prairie farmer.
33/10/68/24/33106824/33106824	Prairie farmer.
33/10/68/31/33106831/33106831	Prairie farmer.
33/10/67/42/33106742/33106742	Prairie farmer.
33/10/67/59/33106759/33106759	Prairie farmer.
33/10/66/77/33106677/33106677	Prairie farmer.
33/10/66/60/33106660/33106660	Prairie farmer.
53/75/88/93/53758893/53758893	Proceedings of the ... meeting /

47/61/56/18/47615618/47615618	On the nature and treatment of stomach and urinary diseases :

47/69/05/57/47690557/47690557	Tuberculosis a preventable and curable disease;

47/68/01/80/47680180/47680180	A treatise on the diseases of the nervous system /

47/62/82/20/47628220/47628220	A history of the mathematical theory of probability from the time of Pascal to that of Laplace.

47/67/54/03/47675403/47675403	A monograph of the gymnoblastic or tubularian hydroids ...

47/39/40/89/47394089/47394089	Chemical bulletin /

47/66/91/63/47669163/47669163	Biennial report of the managing officer of the Jacksonville State Hospital, ...

47/66/91/87/47669187/47669187	Biennial report of the managing officer of the Jacksonville State Hospital, ...

47/66/91/70/47669170/47669170	Biennial report of the managing officer of the Jacksonville State Hospital, ...

47/66/93/65/47669365/47669365	Biennial report of the managing officer of the Jacksonville State Hospital, ...

47/66/93/03/47669303/47669303	Biennial report of the managing officer of the Jacksonville State Hospital, ...

47/66/93/58/47669358/47669358	Special report of the Board of State Commissioners of Public Charities of the State of Illinois :

47/66/92/90/47669290/47669290	Biennial report of the managing officer of the Jacksonville State Hospital, ...

47/66/92/21/47669221/47669221	Biennial report of the managing officer of the Jacksonville State Hospital, ...

47/66/92/45/47669245/47669245	Biennial report of the managing officer of the Jacksonville State Hospital, ...

47/66/92/38/47669238/47669238	Biennial report of the managing officer of the Jacksonville State Hospital, ...
